game,price,tag,has_deluxe,is_combo,combo_list,deluxe_price,is_online,is_featured,price_mode,real_price,has_key,key_price,key_region
Palworld (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,51,ARGENTINA
Subnautica: Below Zero (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,111,EU
Call of Duty: Black Ops 7 - Cross-Gen Bundle (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,546,GLOBAL
ARC Raiders (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,289,EU
Grounded (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,210,EU
Subnautica (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,251,EU
Forza Horizon 6 Standard Edition (PC/ Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,0,EU
Forza Horizon 6 Premium Edition (PC/ Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,0,EU
Forza Horizon 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,308,EU
Age of Empires IV: Anniversary Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,139,GLOBAL
Back 4 Blood (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,571,ARGENTINA
Hollow Knight: Silksong (PC),0,,False,False,,0,False,False,p3,0,True,134,GLOBAL
Forza Horizon 4 Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,457,EU
Microsoft Flight Simulator 2024 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,553,GLOBAL
Forza Horizon 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,329,GLOBAL
Forza Horizon 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,310,GLOBAL
Sea of Thieves 2024 Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,218,EU
Forza Horizon 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,506,EU
Final Fantasy IX (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,56,ARGENTINA
Just Cause 4 (Reloaded Edition) (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,92,EU
Microsoft Flight Simulator 2024 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,553,EU
Hades (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,355,EU
Starfield (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,713,EU
Forza Horizon 4 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,346,EU
ARC Raiders - Deluxe Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,419,EU
Microsoft Flight Simulator 2024 - Premium Deluxe Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,1182,GLOBAL
Forza Horizon 5 Premium Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,434,EU
Gears Of War 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,125,EU
Starfield Digital Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,547,GLOBAL
PowerWash Simulator (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,207,EU
Hades (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,94,ARGENTINA
Hollow Knight: Silksong (PC),0,,False,False,,0,False,False,p3,0,True,145,EU
House Flipper (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,77,ARGENTINA
Persona 5 Royal (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,221,EU
Train Sim World 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,77,ARGENTINA
Hollow Knight: Silksong (PC),0,,False,False,,0,False,False,p3,0,True,129,UNITED STATES
Senua's Saga: Hellblade 2 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,152,EU
Forza Motorsport (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,428,GLOBAL
Subnautica: Below Zero (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,99,ARGENTINA
DOOM: The Dark Ages (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,483,GLOBAL
Astroneer (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,129,EU
Teenage Mutant Ninja Turtles: Shredder's Revenge (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,94,ARGENTINA
SOMA (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,185,EU
Sea of Thieves Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,301,EU
Gears 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,188,EU
INSIDE (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,88,EU
Microsoft Flight Simulator 2024 - Aviator Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,1653,GLOBAL
Marvel's Avengers Definitive Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,262,ARGENTINA
Chivalry 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,63,ARGENTINA
Garfield Kart - Furious Racing (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,63,ARGENTINA
Sniper Elite 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,191,EU
Avowed Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,801,GLOBAL
Just Cause 4 (Complete Edition) (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,132,EU
Halo Wars 2: Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,460,EU
Age of Empires II: Definitive Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,156,GLOBAL
Microsoft Flight Simulator (PC / Xbox 360 / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,287,EU
Just Cause 4 (Complete Edition) (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,169,ARGENTINA
Avowed (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,361,EU
Ashen (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,164,UNITED STATES
As Dusk Falls (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,109,ARGENTINA
EVERSPACE (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,88,UNITED STATES
Forza Motorsport 7 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,615,EU
Forza Horizon 3 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,3506,GLOBAL
Deep Rock Galactic (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,124,EU
Halo Wars 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,144,EU
Escape Academy (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,104,ARGENTINA
DRAGON QUEST BUILDERS 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,308,BRAZIL
Forza Motorsport Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,475,EU
State of Decay 2: Juggernaut Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,111,UNITED STATES
Like a Dragon: Ishin! - Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,181,UNITED STATES
Lies Of P (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,323,EU
Persona 3 Reload (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,281,EU
Forza Horizon 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,402,ARGENTINA
ReCore: Definitive Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,83,EU
Tunic (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,368,EU
Sea of Thieves: Anniversary Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,350,UNITED STATES
Deep Rock Galactic (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,121,ARGENTINA
Forza Motorsport Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,511,GLOBAL
Marvel vs. Capcom: Infinite (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,120,UNITED STATES
Mount & Blade II: Bannerlord (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,407,EU
Like a Dragon: Infinite Wealth (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,199,EU
Phoenix Wright: Ace Attorney Trilogy (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,151,EU
Forza Horizon 5 Premium Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,631,TURKEY
Forza Motorsport Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,539,EGYPT
Forza Horizon 4 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,383,UNITED STATES
Jusant (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,125,EU
Ultimate Marvel vs. Capcom 3 (Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,128,EU
Like a Dragon: Ishin! - Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,197,EU
PAYDAY 3 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,336,TURKEY
Sniper Elite 5 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,230,ARGENTINA
Gears of War Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,230,EU
Psychonauts 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,472,EU
Back 4 Blood (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,114,EU
Forza Motorsport (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,359,EU
Martha Is Dead Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,88,ARGENTINA
Flat Heroes (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,78,ARGENTINA
EVERSPACE (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,69,ARGENTINA
Forza Horizon 5 Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,400,GLOBAL
Microsoft Flight Simulator Deluxe 40th Anniversary Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,345,EU
Sea of Thieves Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,271,ARGENTINA
Capcom Beat 'Em Up Bundle (Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,121,ARGENTINA
Gears 5 Game of the Year Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,552,EU
Skul: The Hero Slayer (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,169,EU
Like a Dragon: Ishin! (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,273,UNITED STATES
Starfield Digital Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,958,EU
Twelve Minutes (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,312,EU
SD GUNDAM BATTLE ALLIANCE (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,149,ARGENTINA
Human: Fall Flat (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,144,EU
"Capcom Arcade Stadium Packs 1, 2, and 3 (Xbox One / Xbox Series X|S)",0,,False,False,,0,False,False,p3,0,True,471,EU
Chained Echoes (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,277,EU
Bridge Constructor: The Walking Dead (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,138,EU
Sea of Thieves (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,220,EU
Sea of Thieves 2023 Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,220,EU
Back 4 Blood: Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,142,EU
NINJA GAIDEN 4 Deluxe Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,684,GLOBAL
Train Sim World 3: Standard Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,419,EU
Just Cause 4 (Gold Edition) (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,131,ARGENTINA
Tony Hawk's Pro Skater 3 + 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,445,GLOBAL
Persona 3 Reload Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,779,EU
The Medium (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,574,EU
Hello Neighbor 2 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,157,ARGENTINA
Syberia 3 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,89,ARGENTINA
Palworld (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,347,EU
Age of Mythology: Retold (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,184,EU
Noel the Mortal Fate (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,99,ARGENTINA
Remnant: From the Ashes - Complete Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,121,TURKEY
Sea of Thieves Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,311,UNITED STATES
Persona 3 Portable (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,181,GLOBAL
XIII (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,52,ARGENTINA
