game,sell_mad,tag,has_deluxe,is_combo,combo_list,deluxe_price
Anno 117: Pax Romana,40,OLD,True,False,,
Assassin’s Creed Collection,40,OLD,True,True,Assassin’s Creed Chronicles: Trilogy | Shadows,
Assassin’s Creed Shadows,40,OLD,True,False,,
Atomfall,60,NEW/DENUVO,True,False,,
Avatar: Frontiers of Pandora,40,OLD,True,False,,
Black Myth: Wukong Collection,60,NEW/DENUVO,True,True,Black Myth: Wukong | Nightreign | Hunter Wilds,
Borderlands 4 Collection,40,OLD,True,True,Borderlands 4,
Borderlands Collection,40,OLD,False,True,Borderlands 3 | Borderlands 4 | Borderlands 2 | Borderlands 1 | Borderlands  The Pre-Sequel,
Clair Obscur: Expedition 33,40,OLD,True,False,,
Code Vein II Collection,40,OLD,False,True,Code Vein II | Code Vein I,
Crimson Desert Collection,60,NEW/DENUVO,False,True,Crimson Desert | Kingdom Come: Deliverance 2 | Kingdom Come: Deliverance,
Cronos: The New Dawn,40,OLD,True,False,,
Cyberpunk 2077 Collection,60,NEW/DENUVO,True,True,Cyberpunk 2077 | Stellar Blade | Dispatch,
Death Stranding Collection,40,OLD,True,True,Death Stranding 2: On the Beach | Death Stranding 1,
Devil May Cry Collection,40,OLD,True,True,Devil May Cry 5 | Stellar Blade,
DmC: Devil May Cry (2013),40,OLD,True,False,,
Devil May Cry 4,40,OLD,True,False,,
Doom Collection,40,OLD,False,True,Doom Eternal | The Dark Ages | 2016,
Dragon Age: The Veilguard,40,OLD,True,False,,
Dying Light Collection,40,OLD,False,True,Dying Light: The Beast | Dying Light 2 | Dying Light 1,
EA SPORTS FC 26 Collection,40,OLD,True,True,FC 26 | FC 25,
Madden NFL 26,40,OLD,True,False,,
Star Wars Jedi: Survivor,40,OLD,True,False,,
Elden Ring Nightreign Collection,40,OLD,True,True,Elden Ring Nightreign | Black Myth Wukong,
Far Cry Collection,40,OLD,False,True,Far Cry 3: Blood Dragon | Far Cry 4 | Far Cry 5 | Far Cry 6,
Final Fantasy XVI Collection,40,OLD,False,True,Final Fantasy XVI | Final Fantasy Tactics | Final Fantasy XV | Final Fantasy IX | Final Fantasy Rebirth | Final Fantasy Remake VII,
Football Manager Collection,40,OLD,False,True,Football Manager 26 | Football Manager 26 In-Game Editor,
Football Manager 26,40,OLD,False,False,,
GTA Collection,40,OLD,False,True,Grand Theft Auto V | Red Dead Redemption 2 | Red Dead Redemption 1,
Ghost of Tsushima Collection,40,OLD,True,True,Ghost of Tsushima | Black Myth Wukong,
God of War Collection,40,OLD,False,True,God of War (2018) | God of War Ragnarok,
Hollow Knight Collection,40,OLD,False,True,Hollow Knight: Silksong | Hollow Knight,
Horizon Collection,40,OLD,False,True,Horizon Forbidden West | Horizon Zero Dawn,
Indiana Jones and the Great Circle,40,OLD,True,False,,
Jurassic World Evolution 3 Collection,40,OLD,False,True,Jurassic World Evolution 3,
Jurassic World Evolution 3,40,OLD,True,False,,
Kingdom Come: Deliverance Collection,40,OLD,False,True,Kingdom Come: Deliverance 2 | Kingdom Come: Deliverance,
Lies of P Collection,40,OLD,True,True,Lies of P | Black Myth Wukong | Stellar Blade,
Life is Strange: Double Exposure Collection,40,OLD,False,False,,
Life is Strange: Reunion Collection,40,OLD,False,False,,
Little Nightmares Collection,40,OLD,False,True,Little Nightmares 3 | Little Nightmares 2 | Little Nightmares 1 | Reanimal,
Mafia Collection,40,OLD,False,True,Mafia 2 (Classic) | Mafia 3 | Mafia 1 | Mafia: The Old Country,
Metal Gear Solid Δ: Snake Eater (2025),40,OLD,True,False,,
MindsEye Collection,40,OLD,True,True,MindsEye | Stellar Blade | Cyberpunk 2077,
Monster Hunter Wilds Collection,40,OLD,True,True,Monster Hunter Wilds | Monster Hunter Stories 3: Twisted Reflection,
Mortal Kombat 1 Collection,40,OLD,False,True,Mortal Kombat 1 | Mortal Kombat 11,
Mortal Kombat 11 Collection,40,OLD,False,True,Mortal Kombat 11 | Mortal Kombat 1,
Ninja Gaiden 4,40,OLD,True,False,,
Ninja Gaiden 4 Collection,40,OLD,True,True,Ninja Gaiden 4 | Mafia:The Old Country,
Nioh 3 Collection,40,OLD,True,True,Nioh 3 | Stellar Blade | Nier Automata,
Pragmata,40,OLD,True,False,,
Atomic Heart,40,OLD,True,False,,
Life is Strange Collection,40,OLD,False,True,Life is Strange: Reunion | Life is Strange Double Exposure | Life is Strange True Colors | Life is Strange Remastered Collection,
Sid Meier's Civilization 7,40,OLD,True,False,,
Black Myth: Wukong,40,OLD,True,False,,
The Outlast Trials,40,OLD,False,False,,
Painkiller Collection,40,OLD,True,True,Painkiller | DOOM: The Dark Ages,
Reanimal,40,OLD,True,False,,
Red Dead Redemption 2 Collection,40,OLD,False,True,Red Dead Redemption 2 | Red Dead Redemption 1 | Grand Theft Auto V,
Red Dead Redemption Collection,40,OLD,False,True,Red Dead Redemption 1 | Red Dead Redemption 2 | Grand Theft Auto V,
Resident Evil 4 Collection,40,OLD,False,True,Resident Evil 4 | Resident Evil Requiem | Resident Evil 2 | Resident Evil 3 | Resident Evil 7 | Resident Evil Village,
Resident Evil Collection,40,OLD,False,True,Resident Evil: Revelations 2 | Resident Evil Requiem | Resident Evil 2 | Resident Evil 3 | Resident Evil 4 | Resident Evil 7 | Resident Evil Village,
Resident Evil Requiem,60,NEW/DENUVO,False,False,,
Resident Evil Requiem Collection,60,NEW/DENUVO,False,True,Resident Evil Requiem | Resident Evil 4 | Resident Evil 3 | Resident Evil 2 | Resident Evil 7 | Resident Evil Village,
Resident Evil Village Collection,40,OLD,False,True,Resident Evil Village | Resident Evil Requiem | Resident Evil 2 | Resident Evil 3 | Resident Evil 4 | Resident Evil 7,
Rise of the Ronin Collection,40,OLD,False,True,Rise of the Ronin | Black Myth Wukong,
Silent Hill 2,40,OLD,True,False,,
Silent Hill f,40,OLD,True,False,,
South of Midnight,40,OLD,False,False,,
Spider-Man Collection,40,OLD,False,False,,
Split Fiction Collection,40,OLD,False,True,Split Fiction | It Takes Two | A Way Out | Unravel Two,
Star Wars Jedi: Fallen Order,40,OLD,True,False,,
Star Wars Outlaws,40,OLD,True,False,,
Stellar Blade Collection,40,OLD,False,True,Stellar Blade | NieR: Automata | NieR: Replicant,
The Dark Pictures Anthology: Season One,40,OLD,False,False,,
The Dark Pictures Collection,40,OLD,False,True,ALL - The Dark Pictures: The Devil in Me | Little Nightmares | Reanimal,
The First Berserker: Khazan Collection,40,OLD,True,True,The First Berserker: Khazan | Black Myth Wukong,
The Last of Us Collection,40,OLD,False,True,The Last of Us Part 1 | The Last of Us Part 2,
The Outer Worlds Collection,40,OLD,True,True,The Outer Worlds 2 | Black Myth Wukong,
The Witcher 3: Wild Hunt Collection,40,OLD,False,True,The Witcher 3 | The Witcher 2 | The Witcher 1 | Cyberpunk 2077,
Shadow of the Tomb Raider,40,OLD,False,False,,
Uncharted Collection,40,OLD,False,True,Uncharted: Legacy of Thieves Collection | Wuchang | Death Stranding,
Until Dawn,40,OLD,False,False,,
Assassin’s Creed Mirage,40,OLD,True,False,,
Vampire: The Masquerade - Bloodlines 2,40,OLD,True,False,,
Watch Dogs Collection,40,OLD,False,True,Watch Dogs: Legion | Watch Dogs 2 | Watch Dogs 1 | All Assassin’s Creed | Far Cry | Avatar,
Wuchang: Fallen Feathers Collection,40,OLD,True,True,Wuchang: Fallen Feathers | Black Myth Wukong,
Yakuza Collection,40,OLD,False,True,Yakuza Kiwami 3 | Yakuza Kiwami Dark Ties | Yakuza in Hawaii,
Like a Dragon: Pirate Yakuza in Hawaii,40,OLD,True,False,,
inZOI Collection,40,OLD,False,True,inZOI | Stellar Blade | Cyberpunk 2077,
Alan Wake 2,40,OLD,False,False,,
Armored Core Vi: Fires Of Rubicon,40,OLD,False,False,,
Atlas Fallen,40,OLD,False,False,,
Avowed,40,OLD,False,False,,
Baldurs Gate 3,40,OLD,False,False,,
Beamngdrive,40,OLD,False,False,,
Code Vein Ii,60,NEW/DENUVO,False,True,Code Vein II | Code Vein,
Cyberpunk 2077,40,OLD,True,True,Cyberpunk 2077 | Stellar Blade | Dispatch,
Dead Space Remake,40,OLD,False,False,,
Death Stranding,40,OLD,True,True,Death Stranding 2: On the Beach | Death Stranding 1,
Dragons Dogma 2,40,OLD,False,False,,
Dying Light,40,OLD,True,True,Dying Light: The Beast | 2 | 1,
Ea Sports Fc 24,40,OLD,False,False,,
Ea Sports Fc 25,40,OLD,True,True,FC 26 | FC 25,
Ea Sports Fc 26,40,OLD,True,True,FC 26 | FC 25,
Elden Ring Nightreign,40,OLD,True,True,Elden Ring Nightreign | Black Myth Wukong,
Elden Ring,40,OLD,False,False,,
Enshrouded,40,OLD,False,False,,
Europa Universalis V,40,OLD,False,False,,
F1 25,40,OLD,False,True,F1 (2025) | All Previous Parts/Others,
Final Fantasy Xvi,40,OLD,True,True,Final Fantasy XVI | Tactics | XV | IX | Rebirth | Remake VII,
Football Manager,40,OLD,False,True,Football Manager 26 | In-Game Editor,
Forza Horizon,40,OLD,False,False,,
Ghost Of Tsushima,40,OLD,True,True,Ghost of Tsushima | Black Myth Wukong,
God Of War,40,OLD,True,True,God of War (2018) | GoW Ragnarok,
Grounded,40,OLD,False,False,,
Hollow Knight,40,OLD,False,True,Hollow Knight: Silksong | Hollow Knight,
Horizon,40,OLD,True,True,Horizon Forbidden West | Zero Dawn,
Killing Floor,40,OLD,False,False,,
Kingdom Come: Deliverance,40,OLD,True,True,Kingdom Come: Deliverance 2 | 1,
Lies Of P,40,OLD,True,True,Lies of P | All Resident Evil | All Previous Parts/Others,
Life Is Strange: Double Exposure,40,OLD,True,True,Life is Strange: Double Exposure | All Previous Parts/Others,
Life Is Strange: Reunion,40,OLD,True,True,Life is Strange: Reunion | All Previous Parts/Others,
Little Nightmares,40,OLD,True,True,Little Nightmares 3 | 2 | 1 | Reanimal,
Lords Of The Fallen,40,OLD,False,False,,
Lost Soul Aside,40,OLD,False,False,,
Mafia,40,OLD,True,True,Mafia 2 (Classic) | 3 | 1 | Mafia: The Old Country,
Manor Lords,40,OLD,False,False,,
Metal Gear,40,OLD,True,False,,
Metaphor: Refantazio,40,OLD,False,False,,
Miside,40,OLD,False,False,,
Monster Hunter Wilds,40,OLD,True,True,Monster Hunter Wilds | Monster Hunter Stories 3: Twisted Reflection,
Mortal Kombat 1,40,OLD,False,True,Mortal Kombat 1 | MK 11 | MK XL,
Nioh 3,40,OLD,True,True,Nioh 3 | Stellar Blade | Nier Automata,
Only Up,40,OLD,False,False,,
Outlast,40,OLD,False,False,,
